R' D F2 B2
R' D B2 F2
L2 R U' L2 R2
L2 R U' R2 L2
R L2 U' L2 R2
U L2 R U' R2
R L2 U' R2 L2
R' U L2 R2 U'
R' U R2 L2 U'
U R L2 U' R2
D R' F2 D B2
R' D F2 B2 D
R' D F2 B2 D'
R' D F2 B2 D2
R' D B2 F2 D
R' D B2 F2 D'
R' D B2 F2 D2
R' F D F2 B2
R' F D B2 F2
F D R' F2 B
F D R' B F2
R' F' D F2 B2
R' F' D B2 F2
F D F2 R' B
R' F2 D F2 B2
R' F2 D B2 F2
R' B D F2 B2
R' B D B2 F2
R' B' D F2 B2
R' B' D B2 F2
R' B2 D F2 B2
R' B2 D B2 F2
R' U R2 L2 U' D2
R' U R2 L2 D U'
R' U R2 L2 D' U'
R' U R2 L2 D2 U'
R' U R2 U' D F2
R' U R2 D U' F2
U R L2 U' R2 D
U R L2 U' R2 D'
U R L2 U' R2 D2
U R L2 D' F2 U'
U R L2 F U' R2
U R L2 F' U' R2
U R L2 F2 U' R2
U R U' R2 D F2
L2 U' L2 R' D B2
U R F L2 U' R2
U R F' L2 U' R2
L2 U' R' L2 D B2
U R F2 L2 U' R2
D R F2 R2 D B2
R' U' D2 L2 R2 U
R' U' D2 R2 L2 U
D R' U R2 U' F2
D' R' D B2 D F2
U2 R' D F2 L' B2
B2 R' D F2 B2 R'
U2 R' D F2 B2 L'
B2 R' D B2 R' F2
B2 R' D B2 F2 R'
U2 R' D B2 F2 L'
D R' D B2 D' F2
D' R' D2 F2 D' B2
D R' F D F B2
D R' F D B2 F
D R' F' D F' B2
D R' F' D B2 F'
D R' F2 U R2 U'
D R' F2 D B2 D
D R' F2 D B2 D'
D R' F2 D B2 D2
D R' F2 B D B2
D R' F2 B' D B2
D R' F2 B2 D B2
R' U2 D' F2 B2 U2
D R' B F2 D B2
R' U2 D' B2 F2 U2
D R' B' F2 D B2
D R' B2 F2 D B2
R' D L B2 L' F2
R' D L' F2 L B2
R' D L2 F2 L2 B2
R' D L2 F2 B2 L2
R' D L2 B2 L2 F2
R' D L2 B2 F2 L2
R' D R F2 R' B2
R' D R' B2 R F2
R2 D R F2 D B2
R' D R2 F2 R2 B2
R' D R2 F2 B2 R2
R' D R2 B2 R2 F2
R' D R2 B2 F2 R2
R' D F B2 D F
R' D F B2 D' F
R' D F B2 D2 F
R' D F' B2 D F'
R' D F' B2 D' F'
R' D F' B2 D2 F'
R' D F2 L B2 L'
R' D F2 L2 B2 L2
R' D F2 R' B2 R
R' D F2 R2 B2 R2
R' D F2 B D B
R' D F2 B D' B
R' D F2 B D2 B
R' D F2 B' D B'
R' D F2 B' D' B'
R' D F2 B' D2 B'
R' D B F2 D B
R' D B F2 D' B
R' D B F2 D2 B
U D R U' R2 F2
U D R U' F2 R2
D U R U' R2 F2
D U R U' F2 R2
R' D B' F2 D B'
R' D B' F2 D' B'
R' D B' F2 D2 B'
R' D B2 L' F2 L
R' D B2 L2 F2 L2
R' D B2 R F2 R'
R' D B2 R2 F2 R2
R' D B2 F D F
R' D B2 F D' F
R' D B2 F D2 F
R' D B2 F' D F'
R' D B2 F' D' F'
R' D B2 F' D2 F'
L2 D' R B2 U' R2
R' D' U2 F2 B2 U2
R' D' U2 B2 F2 U2
R' D2 U' L2 R2 U
R' D2 U' R2 L2 U
R' D2 F D' F2 B2
R' D2 F D' B2 F2
R' D2 F' D' F2 B2
R' D2 F' D' B2 F2
R' D2 F2 D' F2 B2
R' D2 F2 D' B2 F2
R' D2 B D' F2 B2
R' D2 B D' B2 F2
R' D2 B' D' F2 B2
R' D2 B' D' B2 F2
R' D2 B2 D' F2 B2
R' D2 B2 D' B2 F2
R F L2 U' L2 R2
R F L2 U' R2 L2
R' F U L2 R2 U'
R' F U R2 L2 U'
R F R2 D F2 B2
R F R2 D B2 F2
R' F D F2 B2 D
R' F D F2 B2 D'
R' F D F2 B2 D2
R' F D B2 F2 D
R' F D B2 F2 D'
R' F D B2 F2 D2
D F D R' F B
D F D R' B F
D F D F R' B
R' F B D F2 B2
R' F B D B2 F2
R' F B' D F2 B2
R' F B' D B2 F2
R' F B2 D F2 B2
R' F B2 D B2 F2
F D R' F2 D B
F D R' F2 D' B
F D R' F2 D2 B
F D R' F2 B D
F D R' F2 B D'
F D R' F2 B D2
F D R' B F2 D
F D R' B F2 D'
F D R' B F2 D2
F' D F2 D R' B
F D F R' F B
F D F R' B F
R' F' U L2 R2 U'
F2 D F2 R' D B2
R' F' U R2 L2 U'
R F' L2 U' L2 R2
R F' L2 U' R2 L2
F D F2 R' D B
F D F2 R' D' B
F D F2 R' D2 B
F D F2 R' B D
F D F2 R' B D'
F D F2 R' B D2
R' F' D F2 B2 D
R' F' D F2 B2 D'
R' F' D F2 B2 D2
R F' R2 D F2 B2
R F' R2 D B2 F2
R' F' D B2 F2 D
R' F' D B2 F2 D'
R' F' D B2 F2 D2
R' F' B D F2 B2
R' F' B D B2 F2
R' F' B' D F2 B2
R' F' B' D B2 F2
R' F' B2 D F2 B2
R' F' B2 D B2 F2
R' F2 U L2 R2 U'
R' F2 U R2 L2 U'
R F2 L2 U' L2 R2
R F2 L2 U' R2 L2
D F2 R' U' L' U
R F2 R2 D F2 B2
R F2 R2 D B2 F2
R' F2 D F2 B2 D
R' F2 D F2 B2 D'
R' F2 D F2 B2 D2
R' F2 D B2 F2 D
R' F2 D B2 F2 D'
R' F2 D B2 F2 D2
D F2 U' L' U R'
R' F2 B D F2 B2
R' F2 B D B2 F2
R' F2 B' D F2 B2
R' F2 B' D B2 F2
R' F2 B2 D F2 B2
R' F2 B2 D B2 F2
R' B U L2 R2 U'
R' B U R2 L2 U'
R B L2 U' L2 R2
R B L2 U' R2 L2
R' B D F2 B2 D
R' B D F2 B2 D'
R' B D F2 B2 D2
R B R2 D F2 B2
R B R2 D B2 F2
R' B D B2 F2 D
R' B D B2 F2 D'
R' B D B2 F2 D2
R' B F D F2 B2
R' B F D B2 F2
R' B F' D F2 B2
R' B F' D B2 F2
R' B F2 D F2 B2
R' B F2 D B2 F2
R' B F2 D B2 F2
R' B' U L2 R2 U'
R' B' U R2 L2 U'
R B' L2 U' L2 R2
R B' L2 U' R2 L2
R' B' D F2 B2 D
R' B' D F2 B2 D'
R' B' D F2 B2 D2
R' B' D B2 F2 D
R' B' D B2 F2 D'
R' B' D B2 F2 D2
R B' R2 D F2 B2
R B' R2 D B2 F2
R' B' F D F2 B2
R' B' F D B2 F2
R' B' F' D F2 B2
R' B' F' D B2 F2
R' B' F2 D F2 B2
R' B' F2 D B2 F2
R' B2 U L2 R2 U'
R' B2 U R2 L2 U'
R B2 L2 U' L2 R2
R B2 L2 U' R2 L2
R' B2 D F2 B2 D
R' B2 D F2 B2 D'
R' B2 D F2 B2 D2
R' B2 D B2 F2 D
R' B2 D B2 F2 D'
R' B2 D B2 F2 D2
R B2 R2 D F2 B2
R B2 R2 D B2 F2
R' B2 F D F2 B2
R' B2 F D B2 F2
R' B2 F' D F2 B2
R' B2 F' D B2 F2
R' B2 F2 D F2 B2
R' B2 F2 D B2 F2
R' L U L R2 U' L2
L2 R U L U2 L R2
L2 R U L U2 R2 L
L2 R U L' U2 L' R2
L2 R U L' U2 R2 L'
D L R U' L' R2 F2
D L R U' L' F2 R2
D L R U' R2 L' F2
R' L U R2 L U' L2
L2 R U R U2 L2 R
L2 R U R U2 R L2
L2 R U R' U2 L2 R'
L2 R U R' U2 R' L2
U L R D' L F2 U'
U L R D' F2 L U'
L2 R U D2 L2 R2 U2
L2 R U D2 R2 L2 U2
U L R F L U' R2
U L R F' L U' R2
U L R F2 L U' R2
L' R U' L R2 D F2
L2 R U' L R2 D L
L2 R U' L R2 D' L
L2 R U' L R2 D2 L
L2 R U' L' R2 D L'
L2 R U' L' R2 D' L'
L2 R U' L' R2 D2 L'
L R U' L' R2 D F2
L' R U' R2 L D F2
L2 R U' L2 R D R
L2 R U' L2 R D' R
L2 R U' L2 R D2 R
L2 R U' L2 R' D R'
L2 R U' L2 R' D' R'
L2 R U' L2 R' D2 R'
L2 R U' L2 F' R2 F
L2 R U' L2 F2 R2 F2
L2 R U' L2 B R2 B'
L2 R U' L2 B2 R2 B2
L2 R U' R L2 D R
L2 R U' R L2 D' R
L2 R U' R L2 D2 R
R L U' L' R2 D F2
L2 R U' R' L2 D R'
L2 R U' R' L2 D' R'
L2 R U' R' L2 D2 R'
L2 R U' R2 L D L
L2 R U' R2 L D' L
L2 R U' R2 L D2 L
L2 R U' R2 L' D L'
L2 R U' R2 L' D' L'
L2 R U' R2 L' D2 L'
L R U' R2 L' D F2
L2 R U' R2 F L2 F'
L2 R U' R2 F2 L2 F2
L2 R U' R2 B' L2 B
L2 R U' R2 B2 L2 B2
R L U' R2 L' D F2
L2 R U' F L2 F' R2
L2 R U' F' R2 F L2
L2 R U' F2 L2 R2 F2
L2 R U' F2 L2 F2 R2
L2 R U' F2 R2 L2 F2
L2 R U' F2 R2 F2 L2
L2 R U' B R2 B' L2
L2 R U' B' L2 B R2
L2 R U' B2 L2 R2 B2
L2 R U' B2 L2 B2 R2
L2 R U' B2 R2 L2 B2
L2 R U' B2 R2 B2 L2
L2 R U2 D F2 B2 U
L2 R U2 D B2 F2 U
L2 R U2 F U L2 R2
L2 R U2 F U R2 L2
L2 R U2 F' U L2 R2
L2 R U2 F' U R2 L2
L2 R U2 F2 U L2 R2
L2 R U2 F2 U R2 L2
L2 R U2 B U L2 R2
L2 R U2 B U R2 L2
L2 R U2 B' U L2 R2
L2 R U2 B' U R2 L2
L2 R U2 B2 U L2 R2
L2 R U2 B2 U R2 L2
R' L D L' B2 D F2
U2 L U' L R U' R2
B2 L U' L R U' L2
L2 R D U2 F2 B2 U
L2 R D U2 B2 F2 U
U2 L U' R L U' R2
B2 L U' R L U' L2
L' R D' L' F2 U' L2
L R D' L F2 U' L2
R L D' L F2 U' L2
U' L U2 L R U' R2
U' L U2 R L U' R2
L2 R D' F2 U' D L2
L2 R D' F2 D U' L2
L2 R D' F2 B2 U' D
L2 R D' F2 B2 U' D'
L2 R D' F2 B2 U' D2
L2 R D' F2 B2 D U'
L2 R D' F2 B2 D' U'
L2 R D' F2 B2 D2 U'
L2 R D' B2 U' D R2
L2 R D' B2 D U' R2
L2 R D' B2 F2 U' D
L2 R D' B2 F2 U' D'
L2 R D' B2 F2 U' D2
L2 R D' B2 F2 D U'
L2 R D' B2 F2 D' U'
L2 R D' B2 F2 D2 U'
L2 R D2 U L2 R2 U2
L2 R D2 U R2 L2 U2
U L D L R U' R2
U L D R L U' R2
L2 R F U' L2 R2 D
L2 R F U' L2 R2 D'
L2 R F U' L2 R2 D2
L2 R F U' R2 L2 D
L2 R F U' R2 L2 D'
L2 R F U' R2 L2 D2
U L D' L R U' R2
L2 R F D' F2 B2 U'
L2 R F D' B2 F2 U'
L2 R F B U' L2 R2
L2 R F B U' R2 L2
U L D' R L U' R2
L2 R F B' U' L2 R2
L2 R F B' U' R2 L2
L2 R F B2 U' L2 R2
L2 R F B2 U' R2 L2
L2 R F' U' L2 R2 D
L2 R F' U' L2 R2 D'
L2 R F' U' L2 R2 D2
L2 R F' U' R2 L2 D
L2 R F' U' R2 L2 D'
L2 R F' U' R2 L2 D2
U L D2 L R U' R2
L2 R F' D' F2 B2 U'
L2 R F' D' B2 F2 U'
L2 R F' B U' L2 R2
L2 R F' B U' R2 L2
U L D2 R L U' R2
L2 R F' B' U' L2 R2
L2 R F' B' U' R2 L2
L2 R F' B2 U' L2 R2
L2 R F' B2 U' R2 L2
L2 R F2 U' L2 R2 D
L2 R F2 U' L2 R2 D'
L2 R F2 U' L2 R2 D2
L2 R F2 U' R2 L2 D
L2 R F2 U' R2 L2 D'
L2 R F2 U' R2 L2 D2
L2 R F2 D' F2 B2 U'
L2 R F2 D' B2 F2 U'
L2 R F2 B U' L2 R2
L2 R F2 B U' R2 L2
L2 R F2 B' U' L2 R2
L2 R F2 B' U' R2 L2
L2 R F2 B2 U' L2 R2
L2 R F2 B2 U' R2 L2
R' L B D L' F B2
R' L B D L' B2 F
R' L B D B2 L' F
L2 R B U' L2 R2 D
L2 R B U' L2 R2 D'
L2 R B U' L2 R2 D2
L2 R B U' R2 L2 D
L2 R B U' R2 L2 D'
L2 R B U' R2 L2 D2
L2 R B D' F2 B2 U'
L2 R B D' B2 F2 U'
L2 R B F U' L2 R2
L2 R B F U' R2 L2
L2 R B F' U' L2 R2
L2 R B F' U' R2 L2
L2 R B F2 U' L2 R2
L2 R B F2 U' R2 L2
L2 R B' U' L2 R2 D
L2 R B' U' L2 R2 D'
L2 R B' U' L2 R2 D2
L2 R B' U' R2 L2 D
L2 R B' U' R2 L2 D'
L2 R B' U' R2 L2 D2
L2 R B' D' F2 B2 U'
L2 R B' D' B2 F2 U'
L2 R B' F U' L2 R2
L2 R B' F U' R2 L2
L2 R B' F' U' L2 R2
L2 R B' F' U' R2 L2
L2 R B' F2 U' L2 R2
L2 R B' F2 U' R2 L2
L2 R B2 U' L2 R2 D
L2 R B2 U' L2 R2 D'
L2 R B2 U' L2 R2 D2
L2 R B2 U' R2 L2 D
L2 R B2 U' R2 L2 D'
L2 R B2 U' R2 L2 D2
L2 R B2 D' F2 B2 U'
L2 R B2 D' B2 F2 U'
L' R' U L' R2 U' L2
R' L' U L' R2 U' L2
L2 R B2 F U' L2 R2
L2 R B2 F U' R2 L2
L2 R B2 F' U' L2 R2
L2 R B2 F' U' R2 L2
L2 R B2 F2 U' L2 R2
L2 R B2 F2 U' R2 L2
L R' U L R2 U' L2
L' R' U R2 L' U' L2
R' L' U R2 L' U' L2
L R' U R2 L U' L2
R L' U' L R2 D F2
R L' U' R2 L D F2
D L' R U' L R2 F2
D L' R U' L F2 R2
D L' R U' R2 L F2
D L' R U' R2 F2 L
D L' R U' F2 L R2
D L' R U' F2 R2 L
R' L' D L B2 D F2
L' R' D L B2 D F2
U L' R D' L' F2 U'
L R' D L' B2 D F2
D L' R' F2 L D B2
D L' R' F2 D L B2
R L' D' L' F2 U' L2
F2 L' U L R' D F2
F2 L' U L D R' F2
F2 L' U L D F2 R'
F2 L' U R' L D F2
U2 L' U' L' R U' R2
L2 R' F L2 D F2 B2
L2 R' F L2 D B2 F2
U2 L' U' R L' U' R2
L2 R' F R2 U' L2 R2
L2 R' F R2 U' R2 L2
U' L' U2 L' R U' R2
F2 L' U2 L' U' L2 R'
F2 L' U2 L' U' R' L2
U' L' U2 R L' U' R2
L2 R' F' L2 D F2 B2
L2 R' F' L2 D B2 F2
L2 R' F' R2 U' L2 R2
L2 R' F' R2 U' R2 L2
L2 R' F2 L2 D F2 B2
L2 R' F2 L2 D B2 F2
L2 R' F2 R2 U' L2 R2
L2 R' F2 R2 U' R2 L2
U L' D L' R U' R2
U L' D R L' U' R2
L2 R' B L2 D F2 B2
L2 R' B L2 D B2 F2
L2 R' B R2 U' L2 R2
L2 R' B R2 U' R2 L2
U L' D' L' R U' R2
U L' D' R L' U' R2
L R' B D L' F B2
L R' B D L' B2 F
L R' B D B2 L' F
L2 R' B' L2 D F2 B2
L2 R' B' L2 D B2 F2
L2 R' B' R2 U' L2 R2
L2 R' B' R2 U' R2 L2
U L' D2 L' R U' R2
U L' D2 R L' U' R2
L2 R' B2 L2 D F2 B2
L2 R' B2 L2 D B2 F2
L2 R' B2 R2 U' L2 R2
L2 R' B2 R2 U' R2 L2
F2 L' F U L R' F
F2 L' F U L F R'
F2 L' F U R' L F
R L2 U L U2 L R2
R L2 U L U2 R2 L
R L2 U L' U2 L' R2
R L2 U L' U2 R2 L'
R L2 U R U2 L2 R
R L2 U R U2 R L2
R L2 U R' U2 L2 R'
R L2 U R' U2 R' L2
R L2 U D2 L2 R2 U2
R L2 U D2 R2 L2 U2
D L' F2 L R' D' B2
D L' F2 L D' R' B2
L2 R2 U' L2 R D B2
F2 L' F2 R U L R2
F2 L' F2 R U R2 L
R2 L2 U' L2 R D B2
R L2 U' L R2 D L
R L2 U' L R2 D' L
R L2 U' L R2 D2 L
L2 R2 U' R L2 D B2
R2 L2 U' R L2 D B2
R L2 U' L' R2 D L'
R L2 U' L' R2 D' L'
R L2 U' L' R2 D2 L'
R L2 U' L2 R D R
R L2 U' L2 R D' R
R L2 U' L2 R D2 R
R L2 U' L2 R' D R'
R L2 U' L2 R' D' R'
R L2 U' L2 R' D2 R'
D L' F2 R' L D' B2
R L2 U' L2 F' R2 F
R L2 U' L2 F2 R2 F2
R L2 U' L2 B R2 B'
R L2 U' L2 B2 R2 B2
R L2 U' R L2 D R
R L2 U' R L2 D' R
R L2 U' R L2 D2 R
R L2 U' R' L2 D R'
R L2 U' R' L2 D' R'
R L2 U' R' L2 D2 R'
R L2 U' R2 L D L
R L2 U' R2 L D' L
R L2 U' R2 L D2 L
R L2 U' R2 L' D L'
R L2 U' R2 L' D' L'
R L2 U' R2 L' D2 L'
R L2 U' R2 F L2 F'
R L2 U' R2 F2 L2 F2
R L2 U' R2 B' L2 B
R L2 U' R2 B2 L2 B2
R L2 U' F L2 F' R2
R L2 U' F' R2 F L2
R L2 U' F2 L2 R2 F2
R L2 U' F2 L2 F2 R2
R L2 U' F2 R2 L2 F2
R L2 U' F2 R2 F2 L2
R L2 U' B R2 B' L2
R L2 U' B' L2 B R2
R L2 U' B2 L2 R2 B2
R L2 U' B2 L2 B2 R2
R L2 U' B2 R2 L2 B2
R L2 U' B2 R2 B2 L2
R L2 U2 D F2 B2 U
R L2 U2 D B2 F2 U
R L2 U2 F U L2 R2
R L2 U2 F U R2 L2
R L2 U2 F' U L2 R2
R L2 U2 F' U R2 L2
R L2 U2 F2 U L2 R2
R L2 U2 F2 U R2 L2
R L2 U2 B U L2 R2
R L2 U2 B U R2 L2
R L2 U2 B' U L2 R2
R L2 U2 B' U R2 L2
R L2 U2 B2 U L2 R2
R L2 U2 B2 U R2 L2
R L2 D U2 F2 B2 U
R L2 D U2 B2 F2 U
L2 R2 D' R' B2 U' R2
R2 L2 D' R' B2 U' R2
U' L2 R U' R2 D2 L2
B2 L2 R U L' U2 L'
U2 L2 R U R' U2 R'
R L2 D' F2 U' D L2
R L2 D' F2 D U' L2
R L2 D' F2 B2 U' D
R L2 D' F2 B2 U' D'
R L2 D' F2 B2 U' D2
R L2 D' F2 B2 D U'
R L2 D' F2 B2 D' U'
R L2 D' F2 B2 D2 U'
D L2 R U' L2 R2 F2
D L2 R U' L2 F2 R2
D L2 R U' R2 L2 F2
D L2 R U' R2 F2 L2
R L2 D' B2 U' D R2
D L2 R U' F2 L2 R2
D L2 R U' F2 R2 L2
R L2 D' B2 D U' R2
R L2 D' B2 F2 U' D
R L2 D' B2 F2 U' D'
R L2 D' B2 F2 U' D2
R L2 D' B2 F2 D U'
R L2 D' B2 F2 D' U'
R L2 D' B2 F2 D2 U'
U L2 R U L U2 R2
U L2 R U L' U2 R2
U L2 R U L2 U2 R2
U L2 R U D2 L2 U2
U L2 R U' R D R
U L2 R U' R D' R
U L2 R U' R D2 R
U L2 R U' R' D R'
U L2 R U' R' D' R'
U L2 R U' R' D2 R'
B' L2 R B U' L2 R'
B' L2 R B U' R' L2
U L2 R U' F' R2 F
U L2 R U' F2 R2 F2
U L2 R U' B R2 B'
U L2 R U' B2 R2 B2
U L2 R U2 D B2 U
U L2 R U2 B U R2
U L2 R U2 B' U R2
U L2 R U2 B2 U R2
B2 L2 R F2 U' L2 R
B2 L2 R F2 U' R L2
U L2 R D U2 B2 U
U L2 R D' F2 U' D
U L2 R D' F2 U' D'
U L2 R D' F2 U' D2
U L2 R D' F2 D U'
U L2 R D' F2 D' U'
U L2 R D' F2 D2 U'
R L2 D2 U L2 R2 U2
R L2 D2 U R2 L2 U2
U L2 R D2 U L2 U2
R' L2 F L2 D F2 B2
R' L2 F L2 D B2 F2
U L2 R F U' R2 D
U L2 R F U' R2 D'
U L2 R F U' R2 D2
U2 L2 R B2 U' L R2
U L2 R F D' F2 U'
U2 L2 R B2 U' R2 L
B L2 R B' U' L2 R'
B L2 R B' U' R' L2
U L2 R F' U' R2 D
U L2 R F' U' R2 D'
U L2 R F' U' R2 D2
U L2 R F' D' F2 U'
U L2 R F2 U' R2 D
U L2 R F2 U' R2 D'
U L2 R F2 U' R2 D2
R' L2 F R2 U' L2 R2
R' L2 F R2 U' R2 L2
U L2 R F2 D' F2 U'
D L2 R' F2 L2 D B2
F' L2 R2 U' L2 R B
F' L2 R2 U' R L2 B
F' L2 R2 U' R B L2
U L2 R' F R2 U' R2
U L2 R' F' R2 U' R2
U L2 R' F2 R2 U' R2
R' L2 F' L2 D F2 B2
R' L2 F' L2 D B2 F2
R L2 F U' L2 R2 D
R L2 F U' L2 R2 D'
R L2 F U' L2 R2 D2
R L2 F U' R2 L2 D
R L2 F U' R2 L2 D'
R L2 F U' R2 L2 D2
R' L2 F' R2 U' L2 R2
R' L2 F' R2 U' R2 L2
R L2 F D' F2 B2 U'
R L2 F D' B2 F2 U'
U L2 R2 U' R D B2
R L2 F B U' L2 R2
R L2 F B U' R2 L2
R L2 F B' U' L2 R2
R L2 F B' U' R2 L2
U L2 R2 D R' U' R2
R L2 F B2 U' L2 R2
R L2 F B2 U' R2 L2
U L2 R2 D' R' U' R2
U L2 R2 D2 R' U' R2
R' L2 F2 L2 D F2 B2
R' L2 F2 L2 D B2 F2
R L2 F' U' L2 R2 D
R L2 F' U' L2 R2 D'
R L2 F' U' L2 R2 D2
R L2 F' U' R2 L2 D
R L2 F' U' R2 L2 D'
R L2 F' U' R2 L2 D2
R' L2 F2 R2 U' L2 R2
R' L2 F2 R2 U' R2 L2
R L2 F' D' F2 B2 U'
R L2 F' D' B2 F2 U'
R L2 F' B U' L2 R2
R L2 F' B U' R2 L2
R L2 F' B' U' L2 R2
R L2 F' B' U' R2 L2
R L2 F' B2 U' L2 R2
R L2 F' B2 U' R2 L2
F' L2 U' L2 R B R2
F' L2 U' R L2 B R2
F' L2 U' R B L2 R2
F' L2 U' R B R2 L2
R' L2 B L2 D F2 B2
R' L2 B L2 D B2 F2
R L2 F2 U' L2 R2 D
R L2 F2 U' L2 R2 D'
R L2 F2 U' L2 R2 D2
R L2 F2 U' R2 L2 D
R L2 F2 U' R2 L2 D'
R L2 F2 U' R2 L2 D2
F L2 U' L2 D R' B
R' L2 B R2 U' L2 R2
R' L2 B R2 U' R2 L2
R L2 F2 D' F2 B2 U'
R L2 F2 D' B2 F2 U'
R L2 F2 B U' L2 R2
R L2 F2 B U' R2 L2
U L2 U' R' U R2 U'
U L2 U' R' D B2 D
U L2 U' R' D B2 D'
U L2 U' R' D B2 D2
U L2 U' R' B D B2
U L2 U' R' B' D B2
R L2 F2 B' U' L2 R2
R L2 F2 B' U' R2 L2
U L2 U' R' B2 D B2
R L2 F2 B2 U' L2 R2
R L2 F2 B2 U' R2 L2
U L2 U' D R' D B2
U L2 U' D' R' D B2
U L2 U' D2 R' D B2
F2 L2 U2 L U L R'
F2 L2 U2 L U R' L
R' L2 B' L2 D F2 B2
R' L2 B' L2 D B2 F2
R L2 B U' L2 R2 D
R L2 B U' L2 R2 D'
R L2 B U' L2 R2 D2
R L2 B U' R2 L2 D
R L2 B U' R2 L2 D'
R L2 B U' R2 L2 D2
R' L2 B' R2 U' L2 R2
R' L2 B' R2 U' R2 L2
R L2 B D' F2 B2 U'
R L2 B D' B2 F2 U'
R L2 B F U' L2 R2
R L2 B F U' R2 L2
R L2 B F' U' L2 R2
R L2 B F' U' R2 L2
R L2 B F2 U' L2 R2
R L2 B F2 U' R2 L2
R' L2 B2 L2 D F2 B2
R' L2 B2 L2 D B2 F2
R L2 B' U' L2 R2 D
R L2 B' U' L2 R2 D'
R L2 B' U' L2 R2 D2
R L2 B' U' R2 L2 D
R L2 B' U' R2 L2 D'
R L2 B' U' R2 L2 D2
R' L2 B2 R2 U' L2 R2
R' L2 B2 R2 U' R2 L2
R L2 B' D' F2 B2 U'
R L2 B' D' B2 F2 U'
U L2 D R U' R2 D
U L2 D R U' R2 D'
U L2 D R U' R2 D2
U L2 D R D' F2 U'
U L2 D R F U' R2
U L2 D R F' U' R2
U L2 D R F2 U' R2
R L2 B' F U' L2 R2
R L2 B' F U' R2 L2
R L2 B' F' U' L2 R2
R L2 B' F' U' R2 L2
R L2 B' F2 U' L2 R2
R L2 B' F2 U' R2 L2
U L2 D U' R' D B2
B' L2 D' R F' B2 U'
B' L2 D' R B2 F' U'
R' U L R2 D L U'
R' U L R2 D' L U'
R' U L R2 D2 L U'
L' U L R' D F2 B2
L' U L R' D B2 F2
R L2 B2 U' L2 R2 D
R L2 B2 U' L2 R2 D'
R L2 B2 U' L2 R2 D2
R L2 B2 U' R2 L2 D
R L2 B2 U' R2 L2 D'
R L2 B2 U' R2 L2 D2
R' U L D L U' B2
R L2 B2 D' F2 B2 U'
R L2 B2 D' B2 F2 U'
U L2 D' R U' R2 D
U L2 D' R U' R2 D'
U L2 D' R U' R2 D2
U L2 D' R D' F2 U'
U L2 D' R F U' R2
U L2 D' R F' U' R2
L U L R U' L2 R2
U L2 D' R F2 U' R2
L U L R U' R2 L2
R L2 B2 F U' L2 R2
R L2 B2 F U' R2 L2
B' L2 D' B2 R F' U'
R L2 B2 F' U' L2 R2
R L2 B2 F' U' R2 L2
R L2 B2 F2 U' L2 R2
R L2 B2 F2 U' R2 L2
U L2 D' U' R' D B2
L' U L' R U' L2 R2
