F' R F2 B' L U
F' R B' L F2 U
F' R B' F2 L U
B' F L U D F2
B' F L U2 L2 U'
B' F L D U F2
B' F L D2 R2 U
F' B' L R F2 U
B' F' L R F2 U
F' B' R L F2 U
F B' L U D F2
F B' L U2 L2 U'
F B' L D U F2
F B' L D2 R2 U
F' B' R F2 L U
B' F' R L F2 U
B' F' R F2 L U
B' L F' D2 R F' U
B' R F L U D F2
B' R F L U2 L2 U'
B' R F L D U F2
B' R F L D2 R2 U
B' R F' L R F2 U
B' R F' R L F2 U
B' R F' R F2 L U
F' R F' B' L F' U
F' R F2 B' L U D
F' R F2 B' L U D'
F' R F2 B' L U D2
F' R F2 B' L D U
F' R F2 B' L D' U
F' R F2 B' L D2 U
F' R F2 B' D L U
F' R F2 B' D' L U
F' R F2 B' D2 L U
F' R B' L U D' L2
F' R B' L D' U L2
F' R B' L F2 U D
F' R B' L F2 U D'
F' R B' L F2 U D2
F' R B' L F2 D U
F' R B' L F2 D' U
F' R B' L F2 D2 U
F' R B' L' F2 L2 U
F' R B' D' L U L
F R B' L U D F2
F R B' L U2 L2 U'
F R B' L D U F2
F R B' L D2 R2 U
F' R B' F' L F' U
F' R B' F2 L U D
F' R B' F2 L U D'
F' R B' F2 L U D2
F' R B' F2 L D U
F' R B' F2 L D' U
F' R B' F2 L D2 U
F' R B' F2 D L U
F' R B' F2 D' L U
F' R B' F2 D2 L U
B' R' F L U D F2
B' R' F L U2 L2 U'
B' R' F L D U F2
B' R' F L D2 R2 U
B' R' F' L R F2 U
B' R' F' R L F2 U
B' R' F' R F2 L U
F' R' F2 R2 B' L U
F' R' F2 B' L R2 U
F' R' F2 B' R2 L U
F' R' B' L R2 F2 U
F' R' B' L F2 R2 U
F' R' B' R2 L F2 U
F' R' B' R2 F2 L U
F R' B' L U D F2
F' R' B' F2 L R2 U
F R' B' L U2 L2 U'
F R' B' L D U F2
F R' B' L D2 R2 U
F' R' B' F2 R2 L U
B' R2 F L U D F2
B' R2 F L U2 L2 U'
B' R2 F L D U F2
B' R2 F L D2 R2 U
B' R2 F' L R F2 U
B' R2 F' R L F2 U
B' R2 F' R F2 L U
F' R2 F2 R' B' L U
F R2 B' L U D F2
F R2 B' L U2 L2 U'
F R2 B' L D U F2
F R2 B' L D2 R2 U
F' U R F2 B' L U
F' U R B' L F2 U
F' U R B' F2 L U
F2 U F' B' L U F
F' U B' L R F2 U
F' U B' R L F2 U
F' U B' R F2 L U
F2 U B' L F' U F2
F2 U B' F' L U F
F' U' R F2 B' L U
F' U' R B' L F2 U
F' U' R B' F2 L U
F' U' B' L R F2 U
F' U' B' R L F2 U
F' U' B' R F2 L U
F' U2 R F2 B' L U
F' U2 R B' L F2 U
F' U2 R B' F2 L U
F2 U2 F' B' L R' U
F2 U2 F' B' R' L U
F' U2 B' L R F2 U
F' U2 B' R L F2 U
F' U2 B' R F2 L U
F2 U2 B' L F' R' U
F2 U2 B' F' L R' U
F2 U2 B' F' R' L U
D2 F D B' L' U F
B' D R F L U F2
D2 F B L' R' B2 U
D2 F B R' L' B2 U
D2 F B R' B2 L' U
U' F B' L U D F2
U' F B' L U2 L2 U'
U' F B' L D U F2
U' F B' L D2 R2 U
R' F B' L U D F2
R' F B' L U2 L2 U'
R' F B' L D U F2
R' F B' L D2 R2 U
L2 F B L' R' B2 U'
D2 F B' L' U D F2
D2 F B' L' U2 L2 U'
D2 F B' L' D U F2
D2 F B' L' D2 R2 U
L2 F B R' L' B2 U'
L2 F B R' B2 L' U'
U2 F B' L U D F2
U2 F B' L U2 L2 U'
U2 F B' L D U F2
U2 F B' L D2 R2 U
L2 F B' L' U' D' B2
L2 F B' L' U2 L2 U
L2 F B' L' D' U' B2
L2 F B' L' D2 R2 U'
R2 F B' L U D F2
R2 F B' L U2 L2 U'
R2 F B' L D U F2
R2 F B' L D2 R2 U
U F B' L U D F2
U F B' L U2 L2 U'
U F B' L D U F2
U F B' L D2 R2 U
R F B' L U D F2
R F B' L U2 L2 U'
R F B' L D U F2
R F B' L D2 R2 U
B' D F L R U F'
B' D F R L U F'
U' F' R F2 B' L U
U' F' R B' L F2 U
R' F' R F2 B' L U
U' F' R B' F2 L U
R' F' R B' L F2 U
R' F' R B' F2 L U
U2 F' R F2 B' L U
U2 F' R B' L F2 U
U2 F' R B' F2 L U
R2 F' R F2 B' L U
R2 F' R B' L F2 U
R2 F' R B' F2 L U
U F' R F2 B' L U
U F' R B' L F2 U
U F' R B' F2 L U
R F' R F2 B' L U
R F' R B' L F2 U
R F' R B' F2 L U
U' F' B' L R F2 U
R' F' B' L R F2 U
U' F' B' R L F2 U
U' F' B' R F2 L U
R' F' B' R L F2 U
R' F' B' R F2 L U
U2 F' B' L R F2 U
U2 F' B' R L F2 U
U2 F' B' R F2 L U
R2 F' B' L R F2 U
R2 F' B' R L F2 U
R2 F' B' R F2 L U
U F' B' L R F2 U
U F' B' R L F2 U
U F' B' R F2 L U
R F' B' L R F2 U
R F' B' R L F2 U
R F' B' R F2 L U
B' D' F L U' B' U2
B2 D2 F B L R' U
B2 D2 F B R' L U
D2 B R' F L' B2 U
D2 B R' F B2 L' U
D2 B R' B2 F L' U
B2 D2 B R' F L U
L2 B R' F L' B2 U'
L2 B R' F B2 L' U'
B2 D2 B F L R' U
B2 D2 B F R' L U
L2 B R' B2 F L' U'
B' F L R U D F2
B' F L R U2 L2 U'
B' F L R D U F2
B' F L R D2 R2 U
B' F L R' U D F2
B' F L R' U2 L2 U'
B' F L R' D U F2
B' F L R' D2 R2 U
B' F L R2 U D F2
B' F L R2 U2 L2 U'
B' F L R2 D U F2
B' F L R2 D2 R2 U
B' F L U D F2 D
B' F L U D F2 D'
B' F L U D F2 D2
B' F L U F D F2
B' F L U F' D F2
B' F L U F2 D F2
B' F L U' D' B2 U2
B' F L U2 L2 U' D
B' F L U2 L2 U' D'
B' F L U2 L2 U' D2
B' F L U2 L2 D U'
B' F L U2 L2 D' U'
B' F L U2 L2 D2 U'
B' F L D R U F2
B' F L D R' U F2
B' F L D R2 U F2
B' F L D U F2 D
B' F L D U F2 D'
B' F L D U F2 D2
B' F L D' U' B2 U2
B' F L D2 R2 U D
B' F L D2 R2 U D'
B' F L D2 R2 U D2
B' F L D2 R2 D U
B' F L D2 R2 D' U
B' F L D2 R2 D2 U
B' F R L U D F2
B' F R L U2 L2 U'
B' F R L D U F2
B' F R L D2 R2 U
B' F R' L U D F2
B' F R' L U2 L2 U'
B' F R' L D U F2
B' F R' L D2 R2 U
B F L2 B2 L R' U
B F L2 B2 R' L U
D2 B F L' R' B2 U
D2 B F R' L' B2 U
D2 B F R' B2 L' U
F B L2 B2 L R' U
F B L2 B2 R' L U
B' F R2 L U D F2
B' F R2 L U2 L2 U'
B' F R2 L D U F2
B' F R2 L D2 R2 U
L2 B F L' R' B2 U'
L2 B F R' L' B2 U'
L2 B F R' B2 L' U'
B' F U2 L' U' D' B2
B' F U2 L' U2 L2 U
B' F U2 L' D' U' B2
B' F U2 L' D2 R2 U'
B' F D L U D F2
B' F D L U2 L2 U'
B' F D L D U F2
B' F D L D2 R2 U
B' F D' L U D F2
B' F D' L U2 L2 U'
B' F D' L D U F2
B' F D' L D2 R2 U
B' F D2 L U D F2
B' F D2 L U2 L2 U'
B' F D2 L D U F2
B' F D2 L D2 R2 U
B' F' L R U D' L2
B' F' L R D' U L2
B' F' L R F2 U D
B' F' L R F2 U D'
B' F' L R F2 U D2
B' F' L R F2 D U
B' F' L R F2 D' U
B' F' L R F2 D2 U
B' F' L R' F2 R2 U
B' F' L R2 F2 R' U
F' B' L R U D' L2
F' B' L R D' U L2
F' B' L R F2 U D
F' B' L R F2 U D'
F' B' L R F2 U D2
F' B' L R F2 D U
F' B' L R F2 D' U
F' B' L R F2 D2 U
B' F' L D' R U L2
F' B' L R' F2 R2 U
F' B' L R2 F2 R' U
B' F' L F2 U2 L' U'
F' B' L D' R U L2
B' F' L' R F2 L2 U
F' B' L F2 U2 L' U'
F2 B' L F R F2 U
F2 B' L F' U2 L' U'
F' B' L' R F2 L2 U
F B' L R U D F2
F B' L R U2 L2 U'
F B' L R D U F2
F B' L R D2 R2 U
F B' L R' U D F2
F B' L R' U2 L2 U'
F B' L R' D U F2
F B' L R' D2 R2 U
F B' L R2 U D F2
F B' L R2 U2 L2 U'
F B' L R2 D U F2
F B' L R2 D2 R2 U
F B' L U D F2 D
F B' L U D F2 D'
F B' L U D F2 D2
F B' L U F D F2
F B' L U F' D F2
F B' L U F2 D F2
F B' L U' D' B2 U2
F B' L U2 L2 U' D
F B' L U2 L2 U' D'
F B' L U2 L2 U' D2
F B' L U2 L2 D U'
F B' L U2 L2 D' U'
F B' L U2 L2 D2 U'
F B' L D R U F2
F B' L D R' U F2
F B' L D R2 U F2
F B' L D U F2 D
F B' L D U F2 D'
F B' L D U F2 D2
F B' L D' U' B2 U2
F B' L D2 R2 U D
F B' L D2 R2 U D'
F B' L D2 R2 U D2
F B' L D2 R2 D U
F B' L D2 R2 D' U
F B' L D2 R2 D2 U
B' F' R L U D' L2
B' F' R L D' U L2
B' F' R L F2 U D
B' F' R L F2 U D'
B' F' R L F2 U D2
B' F' R L F2 D U
B' F' R L F2 D' U
B' F' R L F2 D2 U
B' F' R L' F2 L2 U
F' B' R L U D' L2
F' B' R L D' U L2
B' F' R D' L U L
F' B' R L F2 U D
F' B' R L F2 U D'
F' B' R L F2 U D2
F' B' R L F2 D U
F' B' R L F2 D' U
F' B' R L F2 D2 U
F' B' R L' F2 L2 U
B' F' R F' L F' U
B' F' R F2 L U D
B' F' R F2 L U D'
B' F' R F2 L U D2
B' F' R F2 L D U
B' F' R F2 L D' U
B' F' R F2 L D2 U
B' F' R F2 D L U
B' F' R F2 D' L U
B' F' R F2 D2 L U
F' B' R D' L U L
B' F' R' L F2 R2 U
F' B' R F' L F' U
F' B' R F2 L U D
F' B' R F2 L U D'
F' B' R F2 L U D2
F' B' R F2 L D U
F' B' R F2 L D' U
F' B' R F2 L D2 U
F' B' R F2 D L U
F' B' R F2 D' L U
F' B' R F2 D2 L U
F' B' R' L F2 R2 U
B' F' R' F2 L R2 U
B' F' R' F2 R2 L U
B' F' R2 L F2 R' U
F' B' R' F2 L R2 U
F B' R L U D F2
F B' R L U2 L2 U'
F B' R L D U F2
F' B' R' F2 R2 L U
F B' R L D2 R2 U
F' B' R2 L F2 R' U
B' F' R2 F2 L R' U
B' F' R2 F2 R' L U
F' B' R2 F2 L R' U
F' B' R2 F2 R' L U
F B' R' L U D F2
F B' R' L U2 L2 U'
F B' R' L D U F2
F B' R' L D2 R2 U
U' B' F L U D F2
U' B' F L U2 L2 U'
U' B' F L D U F2
U' B' F L D2 R2 U
R' B' F L U D F2
R' B' F L U2 L2 U'
R' B' F L D U F2
R' B' F L D2 R2 U
D2 B' F L' U D F2
D2 B' F L' U2 L2 U'
D2 B' F L' D U F2
D2 B' F L' D2 R2 U
F B' R2 L U D F2
F B' R2 L U2 L2 U'
F B' R2 L D U F2
F B' R2 L D2 R2 U
U' B' F' L R F2 U
U' B' F' R L F2 U
U' B' F' R F2 L U
R' B' F' L R F2 U
U2 B' F L U D F2
U2 B' F L U2 L2 U'
U2 B' F L D U F2
U2 B' F L D2 R2 U
L2 B' F L' U' D' B2
L2 B' F L' U2 L2 U
L2 B' F L' D' U' B2
L2 B' F L' D2 R2 U'
R' B' F' R L F2 U
R' B' F' R F2 L U
R2 B' F L U D F2
R2 B' F L U2 L2 U'
R2 B' F L D U F2
R2 B' F L D2 R2 U
U2 B' F' L R F2 U
U2 B' F' R L F2 U
U2 B' F' R F2 L U
R2 B' F' L R F2 U
U B' F L U D F2
U B' F L U2 L2 U'
U B' F L D U F2
U B' F L D2 R2 U
R2 B' F' R L F2 U
R2 B' F' R F2 L U
R B' F L U D F2
R B' F L U2 L2 U'
R B' F L D U F2
R B' F L D2 R2 U
B' F' D' L R U L
B' F' D' R L U L
U B' F' L R F2 U
F B' U2 L' U' D' B2
F B' U2 L' U2 L2 U
F B' U2 L' D' U' B2
F B' U2 L' D2 R2 U'
F' B' D' L R U L
U B' F' R L F2 U
U B' F' R F2 L U
F' B' D' R L U L
R B' F' L R F2 U
R B' F' R L F2 U
R B' F' R F2 L U
F B' D L U D F2
F B' D L U2 L2 U'
F B' D L D U F2
F B' D L D2 R2 U
F B' D' L U D F2
F B' D' L U2 L2 U'
F B' D' L D U F2
F B' D' L D2 R2 U
B' F2 L F R F2 U
B' F2 L F' U2 L' U'
F B' D2 L U D F2
F B' D2 L U2 L2 U'
F B' D2 L D U F2
F B' D2 L D2 R2 U
