R' D L2 F L' B2
R' D L2 F B2 L'
R' D L2 B2 F L'
L2 R U F R2 B L
L2 R U' R2 F' L' F2
L2 R U' F' L' R2 F2
L2 R U' F' L' F2 R2
L2 R U' F' R2 L' F2
L2 R D' F2 U' F' L'
L2 R F2 U' F' L' R2
L2 R F2 U' F' R2 L'
L R B' L U' R2 F
L R B' L U' F R2
R L B' L U' R2 F
R L B' L U' F R2
B2 L B U' R B2 U'
B2 L B U' B2 R U'
F L' F L' U R' F
F L' F L' U F R'
R L2 U F R2 B L
R L2 U' R2 F' L' F2
R L2 U' F' L' R2 F2
R L2 U' F' L' F2 R2
R L2 U' F' R2 L' F2
R L2 D' F2 U' F' L'
D L2 R U' R2 F L'
D L2 R U' F L' R2
D L2 R U' F R2 L'
D L2 R' F L' D B2
D L2 R' F D L' B2
D L2 R' F D B2 L'
R L2 F2 U' F' L' R2
R L2 F2 U' F' R2 L'
D L2 F L' D R' B
D L2 F D L' R' B
D L2 F D R' L' B
D L2 F D R' B L'
L2 U F D R' B L
D R L2 U' R2 F L'
D R L2 U' F L' R2
D R L2 U' F R2 L'
D' R U B' U2 L R2
D' R U B' U2 R2 L
D R U' L2 R2 F L'
D R U' L2 F L' R2
D R U' L2 F R2 L'
D R U' R2 L2 F L'
R U' R2 D L2 F L'
D R' L2 F L' D B2
D R' L2 F D L' B2
D R' L2 F D B2 L'
U' R' D L2 F L' B2
U' R' D L2 F B2 L'
U' R' D L2 B2 F L'
U2 R' D L2 F L' B2
U2 R' D L2 F B2 L'
U2 R' D L2 B2 F L'
U R' D L2 F L' B2
U R' D L2 F B2 L'
U R' D L2 B2 F L'
F R' D' L B' L F
L2 U2 R B U' R2 F
L2 U2 R B U' F R2
R' U2 D' F2 B' U2 L
R' U2 D' B' F2 U2 L
R' D L B2 L F L'
R' D L' F L' F B2
R' D L' F L' B2 F
R' D L' F B2 L' F
R' D L' B2 L' F L'
R' D L' B2 F L' F
R' D L2 F L B2 L2
R' D L2 F L' B2 D
R' D L2 F L' B2 D'
R' D L2 F L' B2 D2
R' D L2 F B L' B
R' D L2 F B2 L' D
R' D L2 F B2 L' D'
R' D L2 F B2 L' D2
R' D L2 F B2 D L'
R' D L2 F B2 D' L'
R' D L2 F B2 D2 L'
R' D L2 B F L' B
R' D L2 B2 F L' D
R' D L2 B2 F L' D'
R' D L2 B2 F L' D2
R' D L2 B2 F D L'
R' D L2 B2 F D' L'
R' D L2 B2 F D2 L'
R' D F L2 F L B2
R' D' L2 D2 F L' B2
R' D' L2 D2 F B2 L'
R' D' L2 D2 B2 F L'
R' D' L2 F L2 B' L
R' D' U2 F2 B' U2 L
R' D' U2 B' F2 U2 L
R' D' F L2 F B' L
R' D' F L2 B' F L
R' D' B D2 F2 B2 L
R' D' B D2 B2 L F2
R' D' B D2 B2 F2 L
R D' F2 U B' U2 L
R' F D L2 F L' B2
R' F D L2 F B2 L'
R' F D L2 B2 F L'
F D L2 R' F L' B
F D L2 R' F B L'
F D L2 R' B F L'
F D L2 F L' R' B
F D L2 F R' L' B
F D L2 F R' B L'
F D R' L2 F L' B
F D R' L2 F B L'
F D R' L2 B F L'
R' F' D L2 F L' B2
R' F' D L2 F B2 L'
R' F' D L2 B2 F L'
F D' L R' B' L F
F D' R' L B' L F
L' F2 L' F' U R' F2
L' F2 L' F' U F2 R'
R' F2 D L2 F L' B2
R' F2 D L2 F B2 L'
R' F2 D L2 B2 F L'
R B' L B' U' R2 F'
R B2 L2 U' R2 F' L'
R' B2 D B2 L2 F L'
